Date,Open,High,Low,Close,Volume
11/15/2024,"4,450","4,510","4,450","4,470","106,365,602"
11/14/2024,"4,570","4,590","4,500","4,500","159,871,812"
11/13/2024,"4,470","4,610","4,460","4,580","209,627,203"
11/12/2024,"4,430","4,520","4,430","4,500","252,380,094"
11/11/2024,"4,470","4,540","4,370","4,460","507,192,312"
11/08/2024,"4,600","4,640","4,520","4,520","213,862,594"
11/07/2024,"4,610","4,640","4,550","4,550","296,218,594"
11/06/2024,"4,710","4,730","4,600","4,600","249,059,500"
11/05/2024,"4,690","4,740","4,680","4,710","199,499,297"
11/04/2024,"4,710","4,770","4,650","4,720","209,831,500"
11/01/2024,"4,770","4,820","4,700","4,700","235,656,406"
10/31/2024,"4,710","4,870","4,710","4,800","307,110,406"
10/30/2024,"4,630","4,750","4,630","4,710","296,314,500"
10/29/2024,"4,730","4,780","4,700","4,700","203,658,594"
10/28/2024,"4,770","4,800","4,710","4,760","191,211,016"
10/25/2024,"4,820","4,860","4,770","4,770","195,647,812"
10/24/2024,"4,820","4,900","4,810","4,820","218,162,094"
10/23/2024,"4,830","4,890","4,810","4,860","222,147,297"
10/22/2024,"4,960","4,970","4,900","4,900","199,707,500"
10/21/2024,"4,980","5,025","4,970","4,990","110,708,203"
10/18/2024,"5,025","5,050","4,960","4,970","157,112,984"
10/17/2024,"4,960","5,050","4,940","4,980","188,127,703"
10/16/2024,"4,950","4,970","4,920","4,950","118,014,305"
10/15/2024,"4,930","4,990","4,920","4,920","142,372,188"
10/14/2024,"4,900","4,930","4,870","4,900","125,414,398"
10/11/2024,"4,910","4,940","4,890","4,900","104,875,297"
10/10/2024,"4,920","4,970","4,860","4,860","226,564,703"
10/09/2024,"5,000","5,075","4,930","4,930","309,336,594"
10/08/2024,"4,800","5,050","4,760","5,000","527,474,375"
10/07/2024,"4,860","4,930","4,810","4,820","308,452,188"
10/04/2024,"4,870","4,920","4,850","4,860","289,960,719"
10/03/2024,"4,900","4,960","4,860","4,920","354,814,781"
10/02/2024,"5,000","5,075","4,900","4,940","307,487,625"
10/01/2024,"4,970","5,075","4,970","5,075","197,069,297"
09/30/2024,"5,050","5,050","4,950","4,950","539,169,938"
09/27/2024,"5,050","5,150","5,000","5,100","304,694,312"
09/26/2024,"5,150","5,200","5,025","5,050","855,266,812"
09/25/2024,"5,400","5,425","5,200","5,325","607,065,938"
09/24/2024,"5,550","5,575","5,525","5,525","195,415,703"
09/23/2024,"5,350","5,500","5,350","5,500","245,292,000"
09/20/2024,"5,400","5,450","5,375","5,375","260,437,406"
09/19/2024,"5,425","5,500","5,400","5,400","332,941,094"
09/18/2024,"5,350","5,375","5,325","5,350","186,877,297"
09/17/2024,"5,350","5,350","5,250","5,300","201,331,594"
09/13/2024,"5,200","5,300","5,175","5,300","259,722,594"
09/12/2024,"5,175","5,225","5,150","5,175","138,542,094"
09/11/2024,"5,225","5,250","5,125","5,175","165,284,891"
09/10/2024,"5,200","5,250","5,125","5,250","202,326,406"
09/09/2024,"5,275","5,300","5,150","5,175","201,448,703"
09/06/2024,"5,200","5,250","5,150","5,225","170,520,703"
09/05/2024,"5,125","5,150","5,075","5,150","166,436,797"
09/04/2024,"5,100","5,175","5,100","5,100","141,890,406"
09/03/2024,"5,225","5,250","5,150","5,175","166,033,906"
09/02/2024,"5,150","5,225","5,150","5,175","136,717,203"
08/30/2024,"5,175","5,175","5,125","5,150","275,297,969"
08/29/2024,"5,125","5,175","5,100","5,125","160,041,906"
08/28/2024,"5,100","5,175","5,025","5,150","277,561,688"
08/27/2024,"5,250","5,275","5,100","5,175","271,088,719"
08/26/2024,"5,200","5,325","5,200","5,300","361,169,781"
08/23/2024,"5,150","5,200","5,125","5,150","217,759,297"
08/22/2024,"5,125","5,150","5,025","5,050","474,043,125"
08/21/2024,"4,990","5,100","4,980","5,100","390,307,000"
08/20/2024,"4,860","4,950","4,840","4,950","310,085,500"
08/19/2024,"4,820","4,820","4,750","4,820","196,203,203"
08/16/2024,"4,850","4,870","4,830","4,830","149,701,703"
08/15/2024,"4,850","4,870","4,790","4,830","214,394,891"
08/14/2024,"4,770","4,840","4,760","4,820","262,716,500"
08/13/2024,"4,700","4,750","4,690","4,720","109,533,398"
08/12/2024,"4,720","4,720","4,650","4,680","83,552,797"
08/09/2024,"4,700","4,730","4,670","4,670","98,730,898"
08/08/2024,"4,600","4,690","4,590","4,660","131,343,406"
08/07/2024,"4,640","4,640","4,590","4,620","125,984,094"
08/06/2024,"4,550","4,650","4,520","4,600","238,051,812"
08/05/2024,"4,660","4,670","4,510","4,530","329,430,906"
08/02/2024,"4,730","4,750","4,690","4,710","113,328,398"
08/01/2024,"4,710","4,750","4,690","4,750","169,636,703"
07/31/2024,"4,650","4,710","4,650","4,670","168,490,297"
07/30/2024,"4,720","4,740","4,670","4,670","204,374,094"
07/29/2024,"4,800","4,800","4,760","4,780","126,109,906"
07/26/2024,"4,760","4,810","4,740","4,760","192,267,297"
07/25/2024,"4,760","4,760","4,660","4,700","274,397,688"
07/24/2024,"4,770","4,800","4,760","4,780","116,037,602"
07/23/2024,"4,900","4,910","4,780","4,790","170,919,500"
07/22/2024,"4,920","4,940","4,880","4,910","140,128,297"
07/19/2024,"4,870","4,910","4,850","4,900","135,104,797"
07/18/2024,"4,760","4,890","4,750","4,890","296,614,906"
07/17/2024,"4,750","4,810","4,720","4,760","263,325,406"
07/16/2024,"4,820","4,840","4,730","4,730","189,271,391"
07/15/2024,"4,920","4,930","4,810","4,820","188,712,984"
07/12/2024,"4,970","4,980","4,880","4,900","327,141,312"
07/11/2024,"4,910","4,920","4,840","4,840","170,470,406"
07/10/2024,"4,870","4,920","4,840","4,850","167,619,703"
07/09/2024,"4,780","4,930","4,750","4,870","291,320,375"
07/08/2024,"4,800","4,830","4,740","4,750","222,042,094"
07/05/2024,"4,850","4,870","4,790","4,800","218,278,000"
07/04/2024,"4,680","4,830","4,660","4,790","422,261,500"
07/03/2024,"4,630","4,640","4,560","4,600","176,310,406"
07/02/2024,"4,610","4,630","4,570","4,570","234,403,109"
07/01/2024,"4,630","4,670","4,560","4,630","261,421,203"
06/28/2024,"4,590","4,640","4,580","4,600","581,319,312"
06/27/2024,"4,410","4,500","4,380","4,460","299,430,594"
